"","rgn1_nm","r2","coef","range"
"(Intercept)","제주특별자치도",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt","제주특별자치도",0.175516026931536,8.27314006351733e-05,2.23885182385252
"ord_cnt","제주특별자치도",0.175516026931536,-1.41183818384911e-07,2.23885182385252
"weekday목요일","제주특별자치도",0.175516026931536,-0.230780597182281,2.23885182385252
"weekday수요일","제주특별자치도",0.175516026931536,-0.407075209522378,2.23885182385252
"weekday월요일","제주특별자치도",0.175516026931536,-0.495902399506173,2.23885182385252
"weekday일요일","제주특별자치도",0.175516026931536,-0.108403791198737,2.23885182385252
"weekday토요일","제주특별자치도",0.175516026931536,-0.236932387399055,2.23885182385252
"weekday화요일","제주특별자치도",0.175516026931536,0.269487428949951,2.23885182385252
"mean_fee","제주특별자치도",0.175516026931536,0.000712041625544336,2.23885182385252
"(Intercept)1","인천광역시",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt1","인천광역시",0.175516026931536,8.27314006351733e-05,2.23885182385252
"ord_cnt1","인천광역시",0.175516026931536,-1.41183818384911e-07,2.23885182385252
"weekday목요일1","인천광역시",0.175516026931536,-0.230780597182281,2.23885182385252
"weekday수요일1","인천광역시",0.175516026931536,-0.407075209522378,2.23885182385252
"weekday월요일1","인천광역시",0.175516026931536,-0.495902399506173,2.23885182385252
"weekday일요일1","인천광역시",0.175516026931536,-0.108403791198737,2.23885182385252
"weekday토요일1","인천광역시",0.175516026931536,-0.236932387399055,2.23885182385252
"weekday화요일1","인천광역시",0.175516026931536,0.269487428949951,2.23885182385252
"mean_fee1","인천광역시",0.175516026931536,0.000712041625544336,2.23885182385252
"(Intercept)2","부산광역시",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt2","부산광역시",0.175516026931536,8.27314006351733e-05,2.23885182385252
"ord_cnt2","부산광역시",0.175516026931536,-1.41183818384911e-07,2.23885182385252
"weekday목요일2","부산광역시",0.175516026931536,-0.230780597182281,2.23885182385252
"weekday수요일2","부산광역시",0.175516026931536,-0.407075209522378,2.23885182385252
"weekday월요일2","부산광역시",0.175516026931536,-0.495902399506173,2.23885182385252
"weekday일요일2","부산광역시",0.175516026931536,-0.108403791198737,2.23885182385252
"weekday토요일2","부산광역시",0.175516026931536,-0.236932387399055,2.23885182385252
"weekday화요일2","부산광역시",0.175516026931536,0.269487428949951,2.23885182385252
"mean_fee2","부산광역시",0.175516026931536,0.000712041625544336,2.23885182385252
"(Intercept)3","전라북도",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt3","전라북도",0.175516026931536,8.27314006351733e-05,2.23885182385252
"ord_cnt3","전라북도",0.175516026931536,-1.41183818384911e-07,2.23885182385252
"weekday목요일3","전라북도",0.175516026931536,-0.230780597182281,2.23885182385252
"weekday수요일3","전라북도",0.175516026931536,-0.407075209522378,2.23885182385252
"weekday월요일3","전라북도",0.175516026931536,-0.495902399506173,2.23885182385252
"weekday일요일3","전라북도",0.175516026931536,-0.108403791198737,2.23885182385252
"weekday토요일3","전라북도",0.175516026931536,-0.236932387399055,2.23885182385252
"weekday화요일3","전라북도",0.175516026931536,0.269487428949951,2.23885182385252
"mean_fee3","전라북도",0.175516026931536,0.000712041625544336,2.23885182385252
"(Intercept)4","경상남도",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt4","경상남도",0.175516026931536,8.27314006351733e-05,2.23885182385252
"ord_cnt4","경상남도",0.175516026931536,-1.41183818384911e-07,2.23885182385252
"weekday목요일4","경상남도",0.175516026931536,-0.230780597182281,2.23885182385252
"weekday수요일4","경상남도",0.175516026931536,-0.407075209522378,2.23885182385252
"weekday월요일4","경상남도",0.175516026931536,-0.495902399506173,2.23885182385252
"weekday일요일4","경상남도",0.175516026931536,-0.108403791198737,2.23885182385252
"weekday토요일4","경상남도",0.175516026931536,-0.236932387399055,2.23885182385252
"weekday화요일4","경상남도",0.175516026931536,0.269487428949951,2.23885182385252
"mean_fee4","경상남도",0.175516026931536,0.000712041625544336,2.23885182385252
"(Intercept)5","충청북도",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt5","충청북도",0.175516026931536,8.27314006351733e-05,2.23885182385252
"ord_cnt5","충청북도",0.175516026931536,-1.41183818384911e-07,2.23885182385252
"weekday목요일5","충청북도",0.175516026931536,-0.230780597182281,2.23885182385252
"weekday수요일5","충청북도",0.175516026931536,-0.407075209522378,2.23885182385252
"weekday월요일5","충청북도",0.175516026931536,-0.495902399506173,2.23885182385252
"weekday일요일5","충청북도",0.175516026931536,-0.108403791198737,2.23885182385252
"weekday토요일5","충청북도",0.175516026931536,-0.236932387399055,2.23885182385252
"weekday화요일5","충청북도",0.175516026931536,0.269487428949951,2.23885182385252
"mean_fee5","충청북도",0.175516026931536,0.000712041625544336,2.23885182385252
"(Intercept)6","대구광역시",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt6","대구광역시",0.175516026931536,8.27314006351733e-05,2.23885182385252
"ord_cnt6","대구광역시",0.175516026931536,-1.41183818384911e-07,2.23885182385252
"weekday목요일6","대구광역시",0.175516026931536,-0.230780597182281,2.23885182385252
"weekday수요일6","대구광역시",0.175516026931536,-0.407075209522378,2.23885182385252
"weekday월요일6","대구광역시",0.175516026931536,-0.495902399506173,2.23885182385252
"weekday일요일6","대구광역시",0.175516026931536,-0.108403791198737,2.23885182385252
"weekday토요일6","대구광역시",0.175516026931536,-0.236932387399055,2.23885182385252
"weekday화요일6","대구광역시",0.175516026931536,0.269487428949951,2.23885182385252
"mean_fee6","대구광역시",0.175516026931536,0.000712041625544336,2.23885182385252
"(Intercept)7","서울특별시",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt7","서울특별시",0.175516026931536,8.27314006351733e-05,2.23885182385252
"ord_cnt7","서울특별시",0.175516026931536,-1.41183818384911e-07,2.23885182385252
"weekday목요일7","서울특별시",0.175516026931536,-0.230780597182281,2.23885182385252
"weekday수요일7","서울특별시",0.175516026931536,-0.407075209522378,2.23885182385252
"weekday월요일7","서울특별시",0.175516026931536,-0.495902399506173,2.23885182385252
"weekday일요일7","서울특별시",0.175516026931536,-0.108403791198737,2.23885182385252
"weekday토요일7","서울특별시",0.175516026931536,-0.236932387399055,2.23885182385252
"weekday화요일7","서울특별시",0.175516026931536,0.269487428949951,2.23885182385252
"mean_fee7","서울특별시",0.175516026931536,0.000712041625544336,2.23885182385252
"(Intercept)8","세종특별자치시",0.175516026931536,-1.92046162989497,2.23885182385252
"rider_cnt8","세종특별자치시",0.175516026931536,8.27314006351733e-05,2.23885182385252
