"","rgn1","r2","coef","range"
"(Intercept)","제주특별자치도",0.255196625007237,17.6213789998139,1.77455387667515
"rider_cnt","제주특별자치도",0.255196625007237,-0.0531092142437664,1.77455387667515
"ord_cnt","제주특별자치도",0.255196625007237,-0.000603077175057918,1.77455387667515
"weekday목요일","제주특별자치도",0.255196625007237,-1.02556636634365,1.77455387667515
"weekday수요일","제주특별자치도",0.255196625007237,-0.270964128917777,1.77455387667515
"weekday월요일","제주특별자치도",0.255196625007237,-1.58017609043091,1.77455387667515
"weekday일요일","제주특별자치도",0.255196625007237,-0.587997029229053,1.77455387667515
"weekday토요일","제주특별자치도",0.255196625007237,-0.251151034372116,1.77455387667515
"weekday화요일","제주특별자치도",0.255196625007237,-0.874845466813225,1.77455387667515
"mean_fee","제주특별자치도",0.255196625007237,0.00240526849172351,1.77455387667515
"(Intercept)1","인천광역시",0.78925624866967,27.4970474641438,1.3679922682139
"rider_cnt1","인천광역시",0.78925624866967,-0.00813134499173582,1.3679922682139
"ord_cnt1","인천광역시",0.78925624866967,0.000454894657558438,1.3679922682139
"weekday목요일1","인천광역시",0.78925624866967,-1.02603188889209,1.3679922682139
"weekday수요일1","인천광역시",0.78925624866967,-0.977939763618724,1.3679922682139
"weekday월요일1","인천광역시",0.78925624866967,-0.771367948036107,1.3679922682139
"weekday일요일1","인천광역시",0.78925624866967,-4.31818580267148,1.3679922682139
"weekday토요일1","인천광역시",0.78925624866967,-3.16346336475194,1.3679922682139
"weekday화요일1","인천광역시",0.78925624866967,0.687663167038981,1.3679922682139
"mean_fee1","인천광역시",0.78925624866967,0.00124257445378093,1.3679922682139
"(Intercept)2","부산광역시",0.916333654440385,-16.1326052656653,1.90606139513204
"rider_cnt2","부산광역시",0.916333654440385,-0.00279881476368752,1.90606139513204
"ord_cnt2","부산광역시",0.916333654440385,0.00116000599131267,1.90606139513204
"weekday목요일2","부산광역시",0.916333654440385,0.078346990425929,1.90606139513204
"weekday수요일2","부산광역시",0.916333654440385,0.215340298528725,1.90606139513204
"weekday월요일2","부산광역시",0.916333654440385,0.113265805997467,1.90606139513204
"weekday일요일2","부산광역시",0.916333654440385,-4.18383108687617,1.90606139513204
"weekday토요일2","부산광역시",0.916333654440385,-3.01767238779456,1.90606139513204
"weekday화요일2","부산광역시",0.916333654440385,0.339503736729218,1.90606139513204
"mean_fee2","부산광역시",0.916333654440385,0.00768374320178432,1.90606139513204
"(Intercept)3","전라북도",0.570913750590281,-9.23459989592281,1.4376995988809
"rider_cnt3","전라북도",0.570913750590281,0.0141459416250779,1.4376995988809
"ord_cnt3","전라북도",0.570913750590281,0.00447267880328598,1.4376995988809
"weekday목요일3","전라북도",0.570913750590281,-0.4381316892311,1.4376995988809
"weekday수요일3","전라북도",0.570913750590281,0.270041641391023,1.4376995988809
"weekday월요일3","전라북도",0.570913750590281,-0.340528235813005,1.4376995988809
"weekday일요일3","전라북도",0.570913750590281,-1.73503005533627,1.4376995988809
"weekday토요일3","전라북도",0.570913750590281,-1.63039371891887,1.4376995988809
"weekday화요일3","전라북도",0.570913750590281,-0.58041772385459,1.4376995988809
"mean_fee3","전라북도",0.570913750590281,0.00593192215054967,1.4376995988809
"(Intercept)4","경상남도",0.731771978576844,13.4553600332531,1.18029225486478
"rider_cnt4","경상남도",0.731771978576844,-0.0247447254057082,1.18029225486478
"ord_cnt4","경상남도",0.731771978576844,0.00276080711909548,1.18029225486478
"weekday목요일4","경상남도",0.731771978576844,-0.727423899708999,1.18029225486478
"weekday수요일4","경상남도",0.731771978576844,-0.303880295110244,1.18029225486478
"weekday월요일4","경상남도",0.731771978576844,-0.440199304328683,1.18029225486478
"weekday일요일4","경상남도",0.731771978576844,-2.12472375983565,1.18029225486478
"weekday토요일4","경상남도",0.731771978576844,-1.12035980768752,1.18029225486478
"weekday화요일4","경상남도",0.731771978576844,0.635901342544379,1.18029225486478
"mean_fee4","경상남도",0.731771978576844,0.00306329210732012,1.18029225486478
"(Intercept)5","충청북도",0.603472344746656,16.1273534784286,1.80918121328553
"rider_cnt5","충청북도",0.603472344746656,-0.0202806013809599,1.80918121328553
"ord_cnt5","충청북도",0.603472344746656,-0.00136330061852706,1.80918121328553
"weekday목요일5","충청북도",0.603472344746656,-2.36930964258397,1.80918121328553
"weekday수요일5","충청북도",0.603472344746656,-1.71410140620473,1.80918121328553
"weekday월요일5","충청북도",0.603472344746656,-3.04880968066578,1.80918121328553
"weekday일요일5","충청북도",0.603472344746656,0.0957555544310864,1.80918121328553
"weekday토요일5","충청북도",0.603472344746656,0.155943662416559,1.80918121328553
"weekday화요일5","충청북도",0.603472344746656,-1.20398750104968,1.80918121328553
"mean_fee5","충청북도",0.603472344746656,0.00411316163232158,1.80918121328553
"(Intercept)6","대구광역시",0.800261465239061,35.4592990535189,1.53908451920469
"rider_cnt6","대구광역시",0.800261465239061,-0.0243224350912049,1.53908451920469
"ord_cnt6","대구광역시",0.800261465239061,0.000199562561736196,1.53908451920469
"weekday목요일6","대구광역시",0.800261465239061,-3.37943567926779,1.53908451920469
"weekday수요일6","대구광역시",0.800261465239061,-2.58494789612726,1.53908451920469
"weekday월요일6","대구광역시",0.800261465239061,-3.06460085563129,1.53908451920469
"weekday일요일6","대구광역시",0.800261465239061,-3.17660151406534,1.53908451920469
"weekday토요일6","대구광역시",0.800261465239061,-1.34038777212414,1.53908451920469
