"","rgn1_nm","r2","coef","range"
"weekday화요일4","경상남도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee4","경상남도",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)5","충청북도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt5","충청북도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt5","충청북도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일5","충청북도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일5","충청북도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일5","충청북도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일5","충청북도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일5","충청북도",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일5","충청북도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee5","충청북도",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)6","대구광역시",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt6","대구광역시",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt6","대구광역시",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일6","대구광역시",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일6","대구광역시",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일6","대구광역시",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일6","대구광역시",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일6","대구광역시",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일6","대구광역시",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee6","대구광역시",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)7","서울특별시",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt7","서울특별시",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt7","서울특별시",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일7","서울특별시",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일7","서울특별시",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일7","서울특별시",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일7","서울특별시",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일7","서울특별시",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일7","서울특별시",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee7","서울특별시",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)8","세종특별자치시",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt8","세종특별자치시",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt8","세종특별자치시",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일8","세종특별자치시",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일8","세종특별자치시",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일8","세종특별자치시",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일8","세종특별자치시",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일8","세종특별자치시",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일8","세종특별자치시",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee8","세종특별자치시",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)9","강원도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt9","강원도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt9","강원도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일9","강원도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일9","강원도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일9","강원도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일9","강원도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일9","강원도",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일9","강원도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee9","강원도",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)10","울산광역시",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt10","울산광역시",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt10","울산광역시",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일10","울산광역시",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일10","울산광역시",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일10","울산광역시",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일10","울산광역시",0.11892328988476,-0.501522539682017,3.22144895647492
